stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1267,6127,Place du 8 Mai 1945,"PLACE, DU 8 MAI 1945",43.599949,3.867038,,,1
1268,6226,Georges Brassens,j'orge BRASSinsse,43.595863,3.862451,,,1
1269,6227,Place du 8 Mai 1945,"PLACE, DU 8 MAI 1945",43.59959,3.866509,,,1
1271,8131,Place Carnot,PLACE CARNOT,43.603226,3.883765,,,1
1272,8132,Henri René,"henri, reuné",43.6031,3.881943,,,1
1273,9138,Volta Fizeau,VOLTA FIZEAU,43.61385,3.913253,,,1
1274,9139,Évariste Galois,EVARISTE GALLOIS,43.609261,3.912223,,,1
1275,9140,Samuel Morse,SAMUEL MORSE,43.60638,3.913059,,,1
1276,9236,Volta Fizeau,VOLTA FIZEAU,43.613972,3.913639,,,1
1277,9239,Samuel Morse,SAMUEL MORSE,43.607105,3.913462,,,1
1278,10133,Millénaire,MI Lé NAIRE,43.603432,3.909984,,,1
1279,10144,Vauguières,VAUGUIERES,43.604504,3.906958,,,1
1281,10146,Lagoya,lago yia,43.612183,3.906006,,,1
1282,10147,Pinville,PIN VILLE,43.614029,3.904522,,,1
1283,10148,Semard,sémard,43.619633,3.904317,,,1
1285,10150,Charles de Gaulle,charles  DE GAULLE,43.628231,3.896645,,,1
1286,10151,Saint-Lazare,"Saint, Lazard",43.627327,3.888984,,,1
1287,10152,Sabines,SABINES,43.583691,3.860395,,,1
1288,10154,Pastourelles,PASTOURELLES,43.621838,3.90121,,,1
1289,10155,Mas de Bagnères,MAS DE BAGNèRES,43.587318,3.858266,,,1
1290,10233,Millénaire,MI Lé NAIRE,43.603294,3.910141,,,1
1292,10244,Le Grand M,LE GRAND tème,43.591099,3.854644,,,1
1293,10245,Saint-Lazare,"Saint, Lazard",43.627129,3.889053,,,1
1294,10246,Charles de Gaulle,charles DE GAULLE,43.62809,3.896567,,,1
1295,10247,Semard,sémard,43.619671,3.904244,,,1
1296,10248,Pinville,PIN VILLE,43.613888,3.904518,,,1
1297,10249,Lagoya,lago yia,43.612122,3.905942,,,1
1299,10251,Vauguières,VAUGUIERES,43.604439,3.906882,,,1
1300,10252,Pastourelles,PASTOURELLES,43.621845,3.90048,,,1
1301,10253,Mas de Bagnères,MAS DE BAGNèRES,43.587513,3.858469,,,1
1302,11113,Pierre Rouge,PIERRE ROUGE -,43.623047,3.882594,,,1
1303,11127,Marie Caizergues,MARIE CAIZERGUES,43.621281,3.875394,,,1
1304,11128,Sainte-Odile,SAINTE ODILE,43.622772,3.872996,,,1
1305,11210,Pierre Rouge,PIERRE ROUGE -,43.622932,3.882529,,,1
1307,12130,TaM,TAM,43.581402,3.870313,,,1
1308,12131,Demeter,démé tère,43.583012,3.872211,,,1
1311,12227,TaM,TAM,43.581432,3.870067,,,1
1312,12228,Demeter,démé tère,43.583527,3.8722,,,1
1314,14106,Saint-Maur,SAINT MAUR,43.621006,3.893874,,,1
1316,14109,Les Aubes,LES AUBES,43.613682,3.888898,,,1
1318,14209,Les Aubes,LES AUBES,43.613583,3.888734,,,1
1319,17102,Céreirède,CEREIRède,43.581249,3.898071,,,2
1320,17103,Chemin de Lattes,chemin DE Lattes,43.572342,3.896109,,,1
1321,17104,Oasis Palavasienne,OASIS PALAVASse,43.555202,3.892613,,,1
1322,17217,Gramenet,GRAMEu Né,43.548874,3.894492,,,1
1323,17218,Oasis Palavasienne,OASIS PALAVASse,43.555294,3.893184,,,1
1324,17219,Chemin de Lattes,chemin DE LAttes,43.573059,3.896746,,,1
1325,17220,Céreirède,CEREIRède,43.581432,3.89836,,,2
1326,18123,Entreprises,ENTREPRISES,43.564186,3.879247,,,1
1328,18219,Entreprises,ENTREPRISES,43.564125,3.879319,,,1
1329,20138,Saint-Jean le Sec,saint j'en LE SEC,43.570988,3.838185,,,1
1330,20139,Saint-Jean de Védas Centre,saint j'en de védass - CENTRE,43.574951,3.830401,,,1
1331,20140,Louise Michel,Louise Michel,43.580997,3.833811,,,1
1332,20141,Marquerose,MARQUEuROSE,43.583714,3.82666,,,1
1333,20239,Saint-Jean de Védas Centre,saint j'en de védass - CENTRE,43.574951,3.830401,,,1
1334,20240,Louise Michel,Louise Michel,43.580997,3.833811,,,1
1335,20241,Marquerose,MARQUEuROSE,43.583668,3.826647,,,1
1336,20242,Saint-Jean le Sec,saint j'en LEusSEC,43.570988,3.838185,,,1
1337,21217,Notre-Dame de Sablassou,"notre dame, de SABLA SOU",43.634789,3.923597,,,1
1338,22136,Jacou,JACOU,43.654633,3.912943,,,1
1339,22169,Magnolias,MAGNOLIAS,43.659035,3.911232,,,1
1340,22208,De Bocaud,DE Bo CAUD,43.659702,3.904439,,,1
1341,22215,Pigeonniers,pigeonniers,43.654041,3.881588,,,1
1343,22269,Magnolias,MAGNOLIAS,43.659077,3.910849,,,1
1344,23232,Plan des 4 Seigneurs,"PLAN, des 4 SEIGNEURS",43.640804,3.857735,,,1
1345,24122,Euromédecine,euromédecine,43.639275,3.828853,,,1
1355,31101,Les Mazets,LES MAZETS,43.699276,4.019469,,,1
1356,31102,Les Pérouses,LES PEROUSES,43.698627,4.0237,,,1
1357,31103,Les Mourguettes,LES MOURGUETTES,43.69733,4.025409,,,1
1358,31104,Poste,POSTE,43.696873,4.030104,,,1
1359,31105,Le Mas,LE MAS,43.721828,4.036003,,,1
